#node	id	node_type	as_dim
n	0	book	0
n	1	film	0
n	2	music	0
n	3	sports	1
n	4	people	1
n	5	location	1
n	6	organization	1
n	7	business	0
#link	id	node_type_1	node_type_2	link_type
l	197	7	4	base.nascar.nascar_racing_organization.drivers
l	198	7	4	user.robert.us_congress.house_committee.current_members
l	199	7	4	spaceflight.space_agency.astronauts
l	200	7	4	music.genre.artists
l	201	7	4	baseball.baseball_position.players
l	202	7	4	other
l	203	4	1	film.producer.film
l	204	4	1	people.person.nationality
l	205	4	1	people.person.place_of_birth
l	206	4	1	people.person.parents
l	207	4	1	people.person.profession
l	208	4	1	film.editor.film
l	209	4	1	film.film_crewmember.films_crewed
l	210	4	1	film.actor.film
l	211	4	1	people.marriage.spouse
l	212	4	1	people.deceased_person.place_of_death
l	213	4	1	people.person.children
l	214	4	1	people.place_lived.location
l	215	4	1	film.music_contributor.film
l	216	4	1	people.sibling_relationship.sibling
l	217	4	1	people.place_lived.person
l	218	4	1	film.producer.films_executive_produced
l	219	4	1	film.director.film
l	220	4	1	film.film_story_contributor.film_story_credits
l	221	4	1	film.cinematographer.film
l	222	4	1	film.film_art_director.films_art_directed
l	223	4	1	film.person_or_entity_appearing_in_film.films
l	224	4	1	film.film_costumer_designer.costume_design_for_film
l	225	4	1	film.writer.film
l	226	4	1	film.film_production_designer.films_production_designed
l	227	4	1	film.film_casting_director.films_casting_directed
l	228	4	1	military.military_person.participated_in_conflicts
l	229	4	1	film.film_set_designer.film_sets_designed
l	230	4	1	influence.influence_node.influenced
l	231	4	1	influence.influence_node.influenced_by
l	232	4	1	people.cause_of_death.people
l	233	4	1	film.actor.dubbing_performances
l	234	4	1	music.artist.genre
l	235	4	1	people.deceased_person.cause_of_death
l	236	4	1	fictional_universe.person_in_fiction.representations_in_fiction
l	237	4	1	people.deceased_person.place_of_burial
l	238	4	1	people.ethnicity.people
l	239	4	1	people.profession.people_with_this_profession
l	240	4	1	film.film_job.films_with_this_crew_job
l	241	4	1	fictional_universe.fictional_character_creator.fictional_characters_created
l	242	4	1	fictional_universe.character_occupation.characters_with_this_occupation
l	243	4	1	fictional_universe.character_gender.characters_of_this_gender
l	244	4	1	other
l	245	1	0	film.film_regional_release_date.film_release_region
l	246	1	0	people.person.profession
l	247	1	0	film.film.language
l	248	1	0	film.performance.actor
l	249	1	0	film.film.genre
l	250	1	0	time.event.locations
l	251	1	0	film.dubbing_performance.language
l	252	1	0	film.film.country
l	253	1	0	film.performance.special_performance_type
l	254	1	0	film.film_crew_gig.film
l	255	1	0	film.performance.character
l	256	1	0	film.film_regional_release_date.film_regional_debut_venue
l	257	1	0	film.personal_film_appearance.person
l	258	1	0	film.film.directed_by
l	259	1	0	book.book_subject.works
l	260	1	0	people.person.languages
l	261	1	0	people.person.religion
l	262	1	0	film.film.written_by
l	263	1	0	fictional_universe.fictional_character.species
l	264	1	0	book.author.works_written
l	265	1	0	music.artist.genre
l	266	1	0	media_common.adaptation.adapted_from
l	267	1	0	book.author.book_editions_published
l	268	1	0	media_common.netflix_title.netflix_genres
l	269	1	0	influence.influence_node.influenced_by
l	270	1	0	music.group_member.instruments_played
l	271	1	0	people.deceased_person.cause_of_death
l	272	1	0	people.person.nationality
l	273	1	0	theater.theater_character.plays_appears_in
l	274	1	0	book.book_character.appears_in_book
l	275	1	0	fictional_universe.fictional_character.character_created_by
l	276	1	0	people.person.ethnicity
l	277	1	0	film.film.story_by
l	278	1	0	tv.tv_program.languages
l	279	1	0	film.film.produced_by
l	280	1	0	people.person.place_of_birth
l	281	1	0	tv.tv_program.genre
l	282	1	0	fictional_universe.fictional_character.powers_or_abilities
l	283	1	0	film.film.subjects
l	284	1	0	film.film.featured_film_locations
l	285	1	0	film.film.film_festivals
l	286	1	0	film.film_film_distributor_relationship.distributor
l	287	1	0	film.film.music
l	288	1	0	music.composition.language
l	289	1	0	fictional_universe.fictional_character.based_on
l	290	1	0	influence.influence_node.influenced
l	291	1	0	people.person.parents
l	292	1	0	film.film_crew_gig.film_crew_role
l	293	1	0	film.film.executive_produced_by
l	294	1	0	film.film.production_companies
l	295	1	0	film.film.cinematography
l	296	1	0	fictional_universe.fictional_character.occupation
l	297	1	0	film.performance.film
l	298	1	0	book.author.series_written_or_contributed_to
l	299	1	0	media_common.literary_genre.books_in_this_genre
l	300	1	0	film.film_cut.film_release_region
l	301	1	0	people.deceased_person.place_of_death
l	302	1	0	film.film_festival.focus
l	303	1	0	film.film_regional_release_date.film
l	304	1	0	location.location.people_born_here
l	305	1	0	periodicals.newspaper_circulation_area.newspapers
l	306	1	0	people.profession.people_with_this_profession
l	307	1	0	film.film.edited_by
l	308	1	0	fictional_universe.fictional_character_creator.fictional_characters_created
l	309	1	0	theater.theatrical_composer.plays_composed
l	310	1	0	theater.theatrical_lyricist.play_lyrics_written
l	311	1	0	theater.theater_genre.plays_in_this_genre
l	312	1	0	film.film.primary_language
l	313	1	0	military.military_conflict.military_personnel_involved
l	314	1	0	time.event.includes_event
l	315	1	0	people.cause_of_death.people
l	316	1	0	media_common.literary_genre.stories_in_this_genre
l	317	1	0	book.periodical_subject.periodicals
l	318	1	0	education.field_of_study.journals_in_this_discipline
l	319	1	0	book.illustrator.magazine_covers
l	320	1	0	other
l	321	3	5	time.event.locations
l	322	3	5	people.person.place_of_birth
l	323	3	5	location.location.containedby
l	324	3	5	people.person.nationality
l	325	3	5	sports.sports_team.location
l	326	3	5	people.deceased_person.place_of_death
l	327	3	5	sports.sports_team.arena_stadium
l	328	3	5	location.location.geolocation
l	329	3	5	people.deceased_person.place_of_burial
l	330	3	5	sports.team_venue_relationship.venue
l	331	3	5	location.location.contains
l	332	3	5	location.location.street_address
l	333	3	5	travel.travel_destination.tourist_attractions
l	334	3	5	location.place_with_neighborhoods.neighborhoods
l	335	3	5	sports.golf_club_access.golf_clubs
l	336	3	5	other
l	337	6	5	people.person.place_of_birth
l	338	6	5	organization.organization.headquarters
l	339	6	5	organization.organization.geographic_scope
l	340	6	5	broadcast.broadcast.area_served
l	341	6	5	location.location.containedby
l	342	6	5	organization.organization.place_founded
l	343	6	5	organization.leadership.organization
l	344	6	5	location.location.contains
l	345	6	5	location.location.geolocation
l	346	6	5	sports.sports_team.arena_stadium
l	347	6	5	military.military_unit.place_of_origin
l	348	6	5	education.school.school_district
l	349	6	5	education.educational_institution.campuses
l	350	6	5	government.government_agency.jurisdiction
l	351	6	5	architecture.architect.structures_designed
l	352	6	5	people.deceased_person.place_of_death
l	353	6	5	aviation.airline.hubs
l	354	6	5	people.person.nationality
l	355	6	5	sports.sports_team.location
l	356	6	5	education.school_district.schools
l	357	6	5	organization.organization_membership.member
l	358	6	5	base.aareas.schema.administrative_area.administrative_children
l	359	6	5	location.location.partiallycontains
l	360	6	5	location.location.adjoin_s
l	361	6	5	location.location.partially_contains
l	362	6	5	architecture.architecture_firm.projects
l	363	6	5	organization.organization_relationship.child
l	364	6	5	organization.organization_relationship.parent
l	365	6	5	education.school_district.locations_served
l	366	6	5	organization.non_profit_registration.non_profit_organization
l	367	6	5	symbols.name_source.namesakes
l	368	6	5	education.school_category.schools_of_this_kind
l	369	6	5	location.country.administrative_divisions
l	370	6	5	protected_sites.governing_body_of_protected_sites.protected_sites_governed
l	371	6	5	location.place_with_neighborhoods.neighborhoods
l	372	6	5	location.citytown.postal_codes
l	373	6	5	location.country.second_level_divisions
l	374	6	5	base.infrastructure.power_plant_type.power_station
l	375	6	5	religion.religious_organization.jurisdictions
l	376	6	5	base.usnris.significance_level.listings
l	377	6	5	location.country.third_level_divisions
l	378	6	5	other
l	379	7	2	music.release.track_list
l	380	7	2	music.release.album
l	381	7	2	music.release.format
l	382	7	2	organization.organization.founders
l	383	7	2	business.employment_tenure.company
l	384	7	2	music.record_label.artist
l	385	7	2	music.release.track
l	386	7	2	music.release.producers
l	387	7	2	music.release.label
l	388	7	2	business.employment_tenure.person
l	389	7	2	music.artist.track
l	390	7	2	music.artist.album
l	391	7	2	music.artist.track_contributions
l	392	7	2	location.location.people_born_here
l	393	7	2	music.release_component.package
l	394	7	2	music.multipart_release.components
l	395	7	2	music.record_label.releases
l	396	7	2	medicine.manufactured_drug_form.shape
l	397	7	2	music.composer.compositions
l	398	7	2	music.featured_artist.recordings
l	399	7	2	music.performance_role.regular_performances
l	400	7	2	music.performance_role.track_performances
l	401	7	2	music.genre.albums
l	402	7	2	music.genre.artists
l	403	7	2	other
l	404	0	2	book.written_work.author
l	405	0	2	book.book_edition.publisher
l	406	0	2	music.artist.track
l	407	0	2	music.composer.compositions
l	408	0	2	music.artist.album
l	409	0	2	music.lyricist.lyrics_written
l	410	0	2	music.artist.track_contributions
l	411	0	2	people.person.profession
l	412	0	2	music.genre.artists
l	413	0	2	music.genre.albums
l	414	0	2	music.genre.subgenre
l	415	0	2	book.book_edition.author_editor
l	416	0	2	people.profession.people_with_this_profession
l	417	0	2	theater.play.soundtracks
l	418	0	2	theater.play.composer
l	419	0	2	book.written_work.subjects
l	420	0	2	book.book.genre
l	421	0	2	theater.play.lyricist
l	422	0	2	music.performance_role.regular_performances
l	423	0	2	influence.influence_node.influenced_by
l	424	0	2	influence.influence_node.influenced
l	425	0	2	music.group_member.membership
l	426	0	2	music.featured_artist.recordings
l	427	0	2	media_common.adapted_work.adaptations
l	428	0	2	location.location.people_born_here
l	429	0	2	music.producer.tracks_produced
l	430	0	2	music.artist.genre
l	431	0	2	music.performance_role.track_performances
l	432	0	2	music.instrument.instrumentalists
l	433	0	2	music.composition.recordings
l	434	0	2	music.record_label.artist
l	435	0	2	people.cause_of_death.people
l	436	0	2	people.ethnicity.people
l	437	0	2	music.record_label.releases
l	438	0	2	other
l	439	5	5	location.location.geolocation
l	440	5	5	location.location.time_zones
l	441	5	5	location.location.containedby
l	442	5	5	location.hud_county_place.place
l	443	5	5	location.hud_county_place.county
l	444	5	5	location.mailing_address.citytown
l	445	5	5	location.mailing_address.postal_code
l	446	5	5	location.mailing_address.country
l	447	5	5	location.citytown.postal_codes
l	448	5	5	location.mailing_address.state_province_region
l	449	5	5	location.postal_code.country
l	450	5	5	location.capital_of_administrative_division.capital_of
l	451	5	5	travel.travel_destination.tourist_attractions
l	452	5	5	location.location.contains
l	453	5	5	geography.mountain.mountain_range
l	454	5	5	location.partial_containment_relationship.partially_contains
l	455	5	5	base.aareas.schema.administrative_area.administrative_children
l	456	5	5	location.administrative_division.capital
l	457	5	5	location.location.partiallycontains
l	458	5	5	location.location.partially_contains
l	459	5	5	location.administrative_division_capital_relationship.capital
l	460	5	5	location.administrative_division_capital_relationship.administrative_division
l	461	5	5	location.adjoining_relationship.adjoins
l	462	5	5	location.location.street_address
l	463	5	5	location.location.nearby_airports
l	464	5	5	location.location.adjoin_s
l	465	5	5	location.administrative_division.second_level_division_of
l	466	5	5	geography.river.mouth
l	467	5	5	location.partial_containment_relationship.partially_contained_by
l	468	5	5	base.aareas.schema.administrative_area.administrative_parent
l	469	5	5	location.location.partially_contained_by
l	470	5	5	location.location.partially_containedby
l	471	5	5	geography.island.island_group
l	472	5	5	aviation.airport.serves
l	473	5	5	location.neighborhood.neighborhood_of
l	474	5	5	geography.river.origin
l	475	5	5	geography.river.cities
l	476	5	5	geography.island.body_of_water
l	477	5	5	transportation.road.major_cities
l	478	5	5	travel.tourist_attraction.near_travel_destination
l	479	5	5	location.australian_suburb.postal_code
l	480	5	5	geography.body_of_water.bridges
l	481	5	5	geography.river.basin_countries
l	482	5	5	geography.mountain_range.mountains
l	483	5	5	education.educational_institution.campuses
l	484	5	5	organization.organization.headquarters
l	485	5	5	education.educational_institution_campus.educational_institution
l	486	5	5	geography.body_of_water.islands
l	487	5	5	transportation.bridge.locale
l	488	5	5	transportation.bridge.body_of_water_spanned
l	489	5	5	location.place_with_neighborhoods.neighborhoods
l	490	5	5	geography.island_group.islands_in_group
l	491	5	5	location.cotermination.location
l	492	5	5	location.location.coterminous_with
l	493	5	5	location.hud_section_8_area.county
l	494	5	5	location.statistical_region.co2_emissions_total
l	495	5	5	location.statistical_region.co2_emissions_mobile
l	496	5	5	location.us_county.hud_county_place
l	497	5	5	location.statistical_region.co2_emissions_residential
l	498	5	5	location.us_county.hud_section_8_area
l	499	5	5	location.statistical_region.co2_emissions_industrial
l	500	5	5	location.statistical_region.co2_emissions_commercial
l	501	5	5	location.country.second_level_divisions
l	502	5	5	time.time_zone.locations_in_this_time_zone
l	503	5	5	other
l	504	5	6	location.mailing_address.state_province_region
l	505	5	6	location.mailing_address.country
l	506	5	6	location.location.containedby
l	507	5	6	location.location.contains
l	508	5	6	location.partial_containment_relationship.partially_contained_by
l	509	5	6	location.postal_code.country
l	510	5	6	location.mailing_address.citytown
l	511	5	6	geography.lake.lake_type
l	512	5	6	location.location.people_born_here
l	513	5	6	organization.organization_scope.organizations_with_this_scope
l	514	5	6	organization.organization_member.member_of
l	515	5	6	location.location.partially_containedby
l	516	5	6	base.ndbcd.buoy.owned_by
l	517	5	6	sports.sports_team_location.teams
l	518	5	6	base.aareas.schema.administrative_area.administrative_parent
l	519	5	6	location.administrative_division.country
l	520	5	6	education.school_district.schools
l	521	5	6	protected_sites.protected_site.governing_body
l	522	5	6	organization.organization.leadership
l	523	5	6	organization.non_profit_organization.registered_with
l	524	5	6	base.usnris.nris_listing.significance_level
l	525	5	6	religion.religious_leadership_jurisdiction.organisation
l	526	5	6	education.educational_institution.school_type
l	527	5	6	organization.organization.parent
l	528	5	6	aviation.airport.hub_for
l	529	5	6	sports.sports_facility.teams
l	530	5	6	architecture.structure.architect
l	531	5	6	symbols.namesake.named_after
l	532	5	6	location.administrative_division.second_level_division_of
l	533	5	6	location.neighborhood.neighborhood_of
l	534	5	6	geography.river.basin_countries
l	535	5	6	geography.lake.basin_countries
l	536	5	6	education.school.school_district
l	537	5	6	government.governmental_jurisdiction.agencies
l	538	5	6	organization.organization.child
l	539	5	6	education.educational_institution_campus.educational_institution
l	540	5	6	military.military_unit_place_of_origin.military_units
l	541	5	6	other
l	542	5	7	location.mailing_address.country
l	543	5	7	location.mailing_address.citytown
l	544	5	7	location.location.contains
l	545	5	7	location.location.containedby
l	546	5	7	travel.travel_destination.tourist_attractions
l	547	5	7	location.location.people_born_here
l	548	5	7	location.postal_code.country
l	549	5	7	location.mailing_address.state_province_region
l	550	5	7	travel.hotel.operating_brand
l	551	5	7	architecture.building.building_function
l	552	5	7	travel.accommodation.accommodation_type
l	553	5	7	architecture.structure.architectural_style
l	554	5	7	organization.organization_scope.organizations_with_this_scope
l	555	5	7	aviation.airport.hub_for
l	556	5	7	geography.river.basin_countries
l	557	5	7	education.school_district.schools
l	558	5	7	geography.lake.basin_countries
l	559	5	7	aviation.airport.operator
l	560	5	7	architecture.structure.architecture_firm
l	561	5	7	business.employer.employees
l	562	5	7	travel.tourist_attraction.near_travel_destination
l	563	5	7	education.educational_institution.colors
l	564	5	7	education.educational_institution.school_type
l	565	5	7	aviation.airport.focus_city_for
l	566	5	7	transportation.road.major_cities
l	567	5	7	protected_sites.protected_site.governing_body
l	568	5	7	wine.vineyard.wines
l	569	5	7	location.neighborhood.neighborhood_of
l	570	5	7	travel.hotel.operated_by
l	571	5	7	base.biblioness.bibs_location.country
l	572	5	7	wine.wine_region.wines
l	573	5	7	education.educational_institution_campus.educational_institution
l	574	5	7	location.administrative_division.second_level_division_of
l	575	5	7	amusement_parks.ride.manufacturer
l	576	5	7	business.shopping_center.store
l	577	5	7	travel.hotel.restaurants_in_hotel
l	578	5	7	architecture.structure.architect
l	579	5	7	wine.appellation.wines
l	580	5	7	government.governmental_jurisdiction.agencies
l	581	5	7	wine.wine_sub_region.wines
l	582	5	7	other
l	583	6	7	organization.organization_relationship.parent
l	584	6	7	organization.leadership.organization
l	585	6	7	people.person.nationality
l	586	6	7	organization.leadership.role
l	587	6	7	organization.organization_relationship.child
l	588	6	7	organization.leadership.person
l	589	6	7	organization.organization.sectors
l	590	6	7	organization.organization_board_membership.member
l	591	6	7	organization.organization_board_membership.organization
l	592	6	7	organization.organization.legal_structure
l	593	6	7	organization.organization_membership.organization
l	594	6	7	organization.organization_founder.organizations_founded
l	595	6	7	business.business_operation.industry
l	596	6	7	organization.organization.founders
l	597	6	7	common.topic.subjects
l	598	6	7	organization.organization.previous_names
l	599	6	7	organization.organization_scope.organizations_with_this_scope
l	600	6	7	organization.organization_board_membership.role
l	601	6	7	sports.sports_team.colors
l	602	6	7	organization.organization.geographic_scope
l	603	6	7	business.employer.employees
l	604	6	7	education.educational_institution.school_type
l	605	6	7	organization.organization.companies_acquired
l	606	6	7	organization.organization.acquired_by
l	607	6	7	organization.organization.locations
l	608	6	7	education.school.school_district
l	609	6	7	education.educational_institution.colors
l	610	6	7	location.location.containedby
l	611	6	7	education.educational_institution.subsidiary_or_constituent_schools
l	612	6	7	people.person.employment_history
l	613	6	7	symbols.name_source.namesakes
l	614	6	7	people.person.place_of_birth
l	615	6	7	business.issuer.issue
l	616	6	7	organization.organization.advisors
l	617	6	7	business.consumer_company.products
l	618	6	7	wine.wine_producer.wines
l	619	6	7	education.school_district.schools
l	620	6	7	organization.organization_merger.organizations_merging
l	621	6	7	organization.organization_merger.became_organization
l	622	6	7	business.sponsor.sponsorship
l	623	6	7	location.location.contains
l	624	6	7	broadcast.tv_station.owner
l	625	6	7	government.government_agency.jurisdiction
l	626	6	7	common.topic.subject_of
l	627	6	7	education.educational_institution.parent_institution
l	628	6	7	military.military_unit.armed_force
l	629	6	7	music.record_label.releases
l	630	6	7	organization.organization_membership.member
l	631	6	7	organization.organization.organization_type
l	632	6	7	organization.organization.place_founded
l	633	6	7	business.consumer_company.brands
l	634	6	7	military.military_unit.place_of_origin
l	635	6	7	organization.organization_partnership.members
l	636	6	7	organization.non_profit_registration.non_profit_organization
l	637	6	7	business.job_title.people_with_this_title
l	638	6	7	business.industry.companies
l	639	6	7	education.school_category.schools_of_this_kind
l	640	6	7	organization.organization_sector.organizations_in_this_sector
l	641	6	7	medicine.drug_manufacturer.drugs_manufactured
l	642	6	7	business.business_operation.competitive_space
l	643	6	7	business.sponsored_recipient.sponsorship
l	644	6	7	organization.organization_type.organizations_of_this_type
l	645	6	7	organization.organization_spin_off.parent_company
l	646	6	7	people.profession.people_with_this_profession
l	647	6	7	finance.stock_exchange.companies_traded
l	648	6	7	business.company_type.companies_of_this_type
l	649	6	7	dining.cuisine.restaurant
l	650	6	7	broadcast.content.broadcast
l	651	6	7	business.issue_type.issues_of_this_type
l	652	6	7	other
l	653	3	7	people.person.nationality
l	654	3	7	sports.sports_team_roster.team
l	655	3	7	sports.sports_league_participation.league
l	656	3	7	sports.sports_league_season.league
l	657	3	7	sports.sports_league_participation.team
l	658	3	7	sports.sports_league_draft_pick.school
l	659	3	7	sports.sports_team_roster.position
l	660	3	7	sports.team_venue_relationship.team
l	661	3	7	sports.sports_team.colors
l	662	3	7	people.deceased_person.place_of_death
l	663	3	7	baseball.baseball_player.position_s
l	664	3	7	people.person.place_of_birth
l	665	3	7	time.event.instance_of_recurring_event
l	666	3	7	people.person.employment_history
l	667	3	7	sports.sports_championship_event.champion
l	668	3	7	sports.sports_league_draft_pick.team
l	669	3	7	location.location.containedby
l	670	3	7	business.employer.employees
l	671	3	7	sports.pro_sports_played.sport
l	672	3	7	location.location.contains
l	673	3	7	sports.school_sports_team.school
l	674	3	7	organization.organization_scope.organizations_with_this_scope
l	675	3	7	business.sponsored_recipient.sponsorship
l	676	3	7	sports.sport.teams
l	677	3	7	other
l	678	2	0	music.composition.language
l	679	2	0	music.release.region
l	680	2	0	music.artist.genre
l	681	2	0	people.person.profession
l	682	2	0	music.recording.artist
l	683	2	0	music.track_contribution.role
l	684	2	0	music.track_contribution.contributor
l	685	2	0	music.composition.composer
l	686	2	0	music.composition.lyricist
l	687	2	0	music.album.artist
l	688	2	0	book.author.works_written
l	689	2	0	music.album.genre
l	690	2	0	music.group_membership.role
l	691	2	0	music.recording.featured_artists
l	692	2	0	music.artist.origin
l	693	2	0	music.artist.label
